cell_type,gene,log2FoldChange,padj,baseMean
NP_metallothionein,WDR83OS,-9.494922319909229,5.652038060594399e-12,334.65672044236527
NP_metallothionein,IMPAD1,-9.755005371366664,6.221910224130326e-12,78.29178717828992
NP_metallothionein,H2AFJ,-11.79780360857635,1.1168489538568468e-11,321.68474627238277
NP_metallothionein,H1FX,-11.994928559168004,1.4706770035704114e-11,346.10909397192233
NP_metallothionein,HIST1H1C,-11.370120536559543,3.5486986590715806e-11,196.39506578361343
NP_metallothionein,H2AFV,-10.758930158020943,4.100263081715147e-11,160.25646955218454
NP_metallothionein,ZNRD1,-9.4682181467184,5.896141931292614e-11,66.79897988640818
NP_metallothionein,ATP5MPL,-11.249068659179285,7.940322940866888e-11,235.40078517662576
NP_metallothionein,SEPT7,-25.036463872707472,8.060083626218901e-11,145.33986711671568
NP_metallothionein,ATP5MD,-11.384443419560998,8.246241491009018e-11,256.959454688322
NP_metallothionein,C19orf70,-24.223088330224428,8.246241491009018e-11,78.08240889661201
NP_stress_response,PFDN5,-5.20705960109399,3.3499847294290537e-34,1201.0475302366474
NP_stress_response,H3F3B,-15.95337408521927,3.921764665593083e-20,3608.275605365275
NP_stress_response,PSMA2,-5.502759378401451,1.7533645287661107e-17,138.2067385960502
NP_stress_response,NUPR1,-5.069932229741753,4.6981814225131837e-17,767.80902956247
NP_stress_response,PTP4A1,-23.96775491875911,1.6697058228774746e-16,76.36963838803516
NP_stress_response,PYURF,-10.80042920820004,1.7722287157027333e-15,112.68975109534487
NP_stress_response,AL627171.2,-25.002796999320065,1.8621402974923282e-15,133.8405455886147
NP_stress_response,H3F3A,-13.368761568323055,1.8621402974923282e-15,756.6367997669257
NP_stress_response,H2AFZ,-13.92796898894947,3.3793425731594192e-15,1080.6623009464138
NP_stress_response,H1FX,-13.371832685158893,7.250102562719187e-14,534.6766294677316
NP_stress_response,WDR83OS,-12.056937885535485,1.2018522782715282e-13,258.317090786545
NP_stress_response,H2AFJ,-12.329992708927817,3.689765711750279e-13,304.3203457330669
NP_stress_response,CASC4,-10.122844578298531,4.887994622954992e-13,67.82687234819942
