gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,contrast
MARS,208.10830840091347,-10.546557193498543,1.5928415726829062,-6.621221704889601,3.5624219330633346e-11,4.04920656767521e-9,NP_chondrocyte,severe_vs_healthy
KIAA0556,30.298268607700944,-8.144809271298294,1.2410071255362651,-6.563064066033265,5.271318548709032e-11,5.951670062729078e-9,NP_chondrocyte,severe_vs_healthy
AL162231.1,72.09804675619888,-9.302676897070468,1.4185029242718237,-6.558094973153417,5.449949760439052e-11,6.112605903496409e-9,NP_chondrocyte,severe_vs_healthy
AP001816.1,281.0118909954356,-11.625329846380176,1.7742329814828552,-6.552313009458343,5.6652636282631326e-11,6.312296368964764e-9,NP_chondrocyte,severe_vs_healthy
MARCH8,48.2156068475787,-9.067113034719355,1.385862525393297,-6.542577541842528,6.046746466222662e-11,6.693313604702418e-9,NP_chondrocyte,severe_vs_healthy
TMEM8A,63.6729581481108,-9.348956566962222,1.4304016597019706,-6.5358960565734465,6.322981948848465e-11,6.9536378107595875e-9,NP_chondrocyte,severe_vs_healthy
HIST1H2BN,77.09811140337035,-9.84501552596837,1.509465400630464,-6.5221869423813,6.928957754577829e-11,7.570892163324525e-9,NP_chondrocyte,severe_vs_healthy
HIST2H2AC,255.05807903032976,-10.698020945708905,1.6412537316791145,-6.5182005312268805,7.115582583852086e-11,7.724968374366599e-9,NP_chondrocyte,severe_vs_healthy
HIST1H4H,92.82645210390749,-9.72335167863174,1.495479343510925,-6.501829477500039,7.934901824499339e-11,8.559585815268841e-9,NP_chondrocyte,severe_vs_healthy
AC020916.1,634.7720765754241,-12.700586572683688,1.9573923526005657,-6.4885236502583945,8.668155164296716e-11,9.29138454826134e-9,NP_chondrocyte,severe_vs_healthy
AC010642.2,250.6362654147751,-11.278124580265477,1.740780335840807,-6.478775264208207,9.247011171300124e-11,9.849520830008736e-9,NP_chondrocyte,severe_vs_healthy
AZIN1-AS1,52.68128873599101,-9.267310240068916,1.4323619207692957,-6.469950161123811,9.803524690345638e-11,1.037703088473086e-8,NP_chondrocyte,severe_vs_healthy
AC091271.1,237.44167081485227,-11.372956879728465,1.760210252430365,-6.461135460394885,1.0392023975012996e-10,1.0931634660920505e-8,NP_chondrocyte,severe_vs_healthy
AC068888.1,520.9372523262433,-12.465130919240025,1.9301644014086672,-6.458066945045073,1.0604883117556252e-10,1.108668521474893e-8,NP_chondrocyte,severe_vs_healthy
AC027644.3,276.2899699879323,-11.418535799468565,1.773597794968889,-6.438063822507661,1.2100712137081518e-10,1.2572862622921021e-8,NP_chondrocyte,severe_vs_healthy
MARCH2,64.29507161798628,-9.17449901693606,1.429745636479571,-6.416874990103983,1.3910005146601115e-10,1.4364624827002229e-8,NP_chondrocyte,severe_vs_healthy
