ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,30/562,172/8976,0.1744186046511628,2.785732020193661,6.111173660176496,2.4558916823142954e-7,3.891906124334181e-6,3.6766565536401152e-6,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/CCND1/H4C2/H4C4/H2BC26,30,Reactome
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,36/562,249/8976,0.14457831325301204,2.3091369034858293,5.414226043452733,1.847974652426148e-6,2.8884096964633354e-5,2.7286604817366633e-5,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/TLE5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/ROR2/H4C15/ROR1/PPP3R1/GNG10/H4C2/GNG5/H4C4/RNF43/H2BC26,36,Reactome
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,7/562,12/8976,0.5833333333333334,9.316725978647687,7.450342259349905,2.1844985080052974e-6,3.368260537343303e-5,3.181972222186948e-5,H1-2/H1-0/H1-4/H1-1/H1-3/CASP3/HMGB2,7,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASE_EFFECTORS,36/562,253/8976,0.1422924901185771,2.2726288101500853,5.306561570869793,2.702249536542831e-6,4.1110222949271604e-5,3.8836540707647146e-5,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/SEH1L/H4C15/IQGAP2/WIPF3/CLASP2/NCKAP1/SFN/H4C2/DYNC1I1/H4C4/CENPP/H2BC26,36,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,37/562,272/8976,0.13602941176470587,2.1725978647686834,5.075259378870181,5.756400668322503e-6,8.642175213889441e-5,8.164202609920005e-5,H3-3B/H3-3A/POLR1H/POLR1F/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/POLR1G/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/ACSL1/PHLDA1/BCL7A/H4C15/GTF2H4/H4C2/H4C4/TASOR/H2BC26/LPL,37,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,23/562,132/8976,0.17424242424242425,2.7829181494661923,5.333080475507979,6.367831830521093e-6,9.43596898522671e-5,8.914094045732877e-5,PSMA2/H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/CDC6/BLM/H4C15/RAD50/SFN/H4C2/H4C4/RAD9A/H2BC26,23,Reactome
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,21/562,116/8976,0.1810344827586207,2.891397717511351,5.298819511817772,8.679840836988186e-6,1.2697049224363486e-4,1.1994813788226589e-4,H4C3/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2BC11/H4C16/H2BC12/H4C5/H4C14/H4C1/H4C11/POLH/BLM/H4C15/RAD50/H4C2/H4C4/RAD9A/H2BC26,21,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,13/562,55/8976,0.23636363636363636,3.7750889679715303,5.335014677513369,2.503444090247735e-5,3.6157338062945137e-4,3.4157584922234256e-4,H4C3/H4C8/H4C16/H3C10/H4C5/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4,13,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,9/562,28/8976,0.32142857142857145,5.133706151499746,5.66160754902273,3.266205122004991e-5,4.658425055259618e-4,4.4007816380698826e-4,H2AC6/H2AC20/H2AC25/H2AC8/H2AC11/H2AC19/H2AC12/H2AC15/H2AC21,9,Reactome
REACTOME_M_PHASE,REACTOME_M_PHASE,39/562,345/8976,0.11304347826086956,1.805477332508123,3.9429061947917083,2.1955617368438652e-4,0.003092760421899815,0.0029217091858714985,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/CEP43/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/SEH1L/H4C15/CLASP2/GORASP2/SET/H4C2/LBR/DYNC1I1/H4C4/CENPP/CHMP4B/H2BC26/NUP42,39,Reactome
