category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05310,Asthma,2/332,12/5974,0.16666666666666666,2.998995983935743,1.6813391169003657,0.14079773516406802,0.9089715241325015,0.9089715241325015,3586/7124,2
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,7/332,78/5974,0.08974358974358974,1.6148439913500152,1.3258129460639194,0.14118197502408122,0.9089715241325015,0.9089715241325015,5534/81539/2790/2770/2898/5321/2787,7
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,8/332,93/5974,0.08602150537634409,1.5478688949345774,1.2916394086226515,0.1439843322803106,0.9089715241325015,0.9089715241325015,5336/5230/7422/2023/112399/3479/3939/817,8
Metabolism,Lipid metabolism,hsa00062,Fatty acid elongation,3/332,24/5974,0.125,2.2492469879518073,1.4874562721054139,0.1457801097517184,0.9089715241325015,0.9089715241325015,9200/201562/83401,3
Metabolism,Lipid metabolism,hsa01040,Biosynthesis of unsaturated fatty acids,3/332,24/5974,0.125,2.2492469879518073,1.4874562721054139,0.1457801097517184,0.9089715241325015,0.9089715241325015,9200/201562/83401,3
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,3/332,24/5974,0.125,2.2492469879518073,1.4874562721054139,0.1457801097517184,0.9089715241325015,0.9089715241325015,3586/2150/7124,3
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,4/332,37/5974,0.10810810810810811,1.9452946922826444,1.3990502559634446,0.1474607096039637,0.9089715241325015,0.9089715241325015,79814/8974/283208/2593,4
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,8/332,94/5974,0.0851063829787234,1.5314022045629325,1.2596426991691148,0.15028931291250983,0.9089715241325015,0.9089715241325015,3586/56924/5534/5525/2534/7124/5063/4772,8
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,5/332,51/5974,0.09803921568627451,1.7641152846680839,1.329296517688937,0.15149525402208358,0.9089715241325015,0.9089715241325015,836/27/595/2534/6442,5
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,8/332,95/5974,0.08421052631578947,1.515282181357007,1.2280158026297558,0.15672622042071016,0.9207469377905463,0.9207469377905463,8200/7044/79639/4681/3624/7124/1875/7046,8
