ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,173,-0.819543613142587,-1.775626575852487,1.1458118792594065e-9,3.980877843369823e-8,3.570108592218782e-8,700,"tags=18%, list=5%, signal=18%",GNG5/USF1/S1PR3/CBFB/H4C4/GNAI1/GNG10/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,28,-0.9251437220733736,-1.7530537669969297,2.2639462598133798e-5,4.746480434367362e-4,4.2567120238959377e-4,298,"tags=32%, list=2%, signal=32%",H2AC15/H2AC21/H2AC12/H2AC11/H2AC19/H2AC25/H2AC8/H2AC20/H2AC6,Reactome
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,18,-0.9588600101734585,-1.7512471796667581,6.048760014305099e-6,1.3620911439620373e-4,1.221542958054597e-4,442,"tags=17%, list=3%, signal=16%",DMAC2L/ATP5MK/ATP5MJ,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,271,-0.7941008502763653,-1.7461312093466685,1.0920930085330403e-11,1.0215269987509053e-9,9.161201269961374e-10,517,"tags=13%, list=3%, signal=12%",TASOR/H4C4/KMT2A/ACSL1/BCL7A/H4C15/H4C11/H4C14/GTF2H4/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/POLR1G/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,117,-0.8166684039339961,-1.7312679728800224,9.918299719319338e-7,2.2755948035268515e-5,2.0407861984537902e-5,714,"tags=17%, list=5%, signal=16%",RAD9A/POLD3/H4C4/RAD50/SPIDR/H4C15/H4C11/H4C14/H4C5/H4C1/BLM/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,53,-0.8556184324144721,-1.7300754373229839,1.9272225267133743e-4,0.00377984289110236,0.0033898175512309947,642,"tags=26%, list=4%, signal=25%",MECOM/H4C4/KMT2A/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H3C10/H4C16/H4C8/H4C3,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASE_EFFECTORS,256,-0.7871629288068713,-1.7219199048543972,3.691865595134231e-10,1.548037435752836e-8,1.3883022709833258e-8,691,"tags=14%, list=5%, signal=13%",DYNC1I1/MRTFA/WASF1/PAK3/H4C4/IQGAP2/NUP160/PPP2R5A/NCKAP1/SEH1L/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,249,-0.7841006034088345,-1.7130403547362443,1.329738846849154e-9,4.3701687507258676e-8,3.9192302854501384e-8,811,"tags=16%, list=5%, signal=15%",PYGO1/PDE6A/PSMA6/WNT11/WLS/GNG5/H4C4/GNG10/PPP2R5A/PPP3R1/H4C15/H4C11/H4C14/VANGL2/RNF43/H4C5/H3C1/H4C1/ROR2/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/TLE5/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,48,-0.852563431709879,-1.7066282431675097,1.9944441258893707e-4,0.003849593741399166,0.00345237111849856,177,"tags=8%, list=1%, signal=8%",H2BC12/H2BC11/H2BC15/H2BC5,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,47,-0.8551139270822037,-1.703652878708613,2.2612126315019543e-4,0.004230207015240579,0.003793710584997611,252,"tags=9%, list=2%, signal=8%",GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
