ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,11/341,69/8748,0.15942028985507245,4.0897615708274895,5.189205832320924,6.442945235788359e-5,8.053681544735448e-4,7.415633643961394e-4,H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/H4C5/H4C11,11,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,15/341,122/8748,0.12295081967213115,3.1541752800346137,4.825501504633799,7.438111654653485e-5,9.176891002494559e-4,8.449857532490836e-4,PSMA2/H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/SFN/H4C5/H4C11/WEE1/ORC3,15,Reactome
REACTOME_M_PHASE,REACTOME_M_PHASE,27/341,331/8748,0.08157099697885196,2.0926190075395805,4.081222889430013,2.1682620167483323e-4,0.0026408319434755327,0.0024316136787015715,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/CEP43/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/SEH1L/H4C5/H4C11/CHMP4B/LEMD2/NUP42/SET,27,Reactome
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,5/341,16/8748,0.3125,8.016862170087977,5.65760083076418,2.675490309935341e-4,0.003217361765112119,0.00296246828455199,H1-2/H1-0/H1-4/H1-1/H1-3,5,Reactome
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,4/341,10/8748,0.4,10.26158357771261,5.9015414132571005,3.952595921663372e-4,0.004693707656975254,0.004321851593292451,LARS1/IARS1/VARS2/VARS1,4,KEGG
REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY,REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY,8/341,48/8748,0.16666666666666666,4.275659824046921,4.582959459764901,4.7299427815957574e-4,0.0055474637561925555,0.0051079693976687135,DARS1/LARS1/EPRS1/RARS1/IARS1/KARS1/MARS1/POMC,8,Reactome
REACTOME_HDMS_DEMETHYLATE_HISTONES,REACTOME_HDMS_DEMETHYLATE_HISTONES,6/341,29/8748,0.20689655172413793,5.307715643644453,4.67949423477409,7.449312649139846e-4,0.00863030123985714,0.007946571003126074,H4C3/H4C8/H4C16/H3C10/H4C5/H4C11,6,Reactome
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,12/341,108/8748,0.1111111111111111,2.8504398826979473,3.896872672859149,9.751779300529919e-4,0.011161675103016173,0.010277398349702425,H4C3/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2BC11/H4C16/H2BC12/H4C5/H4C11/POLH,12,Reactome
REACTOME_CELL_CYCLE_MITOTIC,REACTOME_CELL_CYCLE_MITOTIC,32/341,464/8748,0.06896551724137931,1.7692385478814843,3.429147874993389,0.0011433382003269463,0.012930610598935702,0.011906191033479854,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/CEP43/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/SEH1L/H4C5/H4C11/CHMP4B/LEMD2/NUP42/WEE1/OBI1/SET/CABLES1/ORC3/CCND1,32,Reactome
REACTOME_TRANSLATION,REACTOME_TRANSLATION,22/341,288/8748,0.0763888888888889,1.9596774193548387,3.3352052645303676,0.0019399615850525511,0.021681923597646157,0.019964186714286937,SARS1/NARS1/DARS1/LARS1/GARS1/EPRS1/TARS1/RARS1/IARS1/CARS1/KARS1/HARS1/YARS1/AARS1/WARS1/MARS1/VARS2/VARS1/TSFM/EIF4A1/MRPS24/MRPL18,22,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,7/341,47/8748,0.14893617021276595,3.8208023959568225,3.905019775417706,0.002107138170491008,0.023276526301935555,0.021432458013194957,H4C3/H4C8/H4C16/H3C10/H4C5/H4C11/KMT2A,7,Reactome
REACTOME_DNA_REPAIR,REACTOME_DNA_REPAIR,22/341,292/8748,0.07534246575342465,1.9328325231992929,3.2651177433434126,0.0023058502916560096,0.025178825023829992,0.02318404830449055,H2AJ/H2AZ2/H4C3/H2AC6/H2AX/ADPRS/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H2AC19/H4C5/ERCC8/GTF2H4/H4C11/POLH/TERF2,22,Reactome
REACTOME_INTRAFLAGELLAR_TRANSPORT,REACTOME_INTRAFLAGELLAR_TRANSPORT,7/341,48/8748,0.14583333333333334,3.7412023460410557,3.835202645492606,0.0023861383472305203,0.025759448066693117,0.023718671848667015,DYNC2I1/DYNC2I2/DYNLT2B/DYNLT2/IFT172/IFT88/DYNLT5,7,Reactome
REACTOME_HS_GAG_BIOSYNTHESIS,REACTOME_HS_GAG_BIOSYNTHESIS,5/341,25/8748,0.2,5.130791788856305,4.165398940349628,0.002437674198668242,0.026020117850953147,0.023958690231736357,HS6ST3/HS3ST5/HS3ST3A1/NDST2/HSPG2,5,Reactome
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,14/341,154/8748,0.09090909090909091,2.332178085843775,3.3590092522289132,0.002698986644955349,0.028489303474528684,0.026232256163250235,PSMA2/H2AC6/H2BC15/H2BC5/H2BC21/H2AC20/H2BC11/H2AC25/H2BC18/H2AC8/H2BC12/H2AC11/H2AC19/H2AC12,14,Reactome
REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES,REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES,4/341,17/8748,0.23529411764705882,6.036225633948595,4.1858520579082255,0.00360693746818609,0.037654841700843794,0.034671660336178606,GCLM/HMOX1/NQO1/SRXN1,4,Reactome
