Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	cell_type	comparison	library
prerank	Aerobic Respiration (GO:0009060)	-0.5553964102534705	-1.803346287165817	0.0	0.03683507449054531	0.702	15/57	12.52%	NDUFA11;NDUFS7;NDUFB11;NDUFV1;MDH2;NDUFS3;CHCHD10;NDUFB10;NDUFS6;UQCRC1;NDUFS8;NDUFA10;NDUFA7;MTFR2;BLOC1S1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Aorta Morphogenesis (GO:0035909)	0.7551144727247687	1.801176583519991	0.00980392156862745	0.031166433656713188	0.938	7/12	15.53%	RBPJ;HEY1;JAG1;PDGFRB;PROX1;MYLK;ADAMTS9	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)	0.7551858741485954	1.8003610039183902	0.014634146341463415	0.031248142469144535	0.939	2/11	2.13%	TNF;CD44	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Response To Calcium Ion (GO:0051592)	0.5298937824577539	1.8003253913286592	0.0	0.031110990303094423	0.939	16/57	10.43%	THBS1;ITPKC;ADAM9;PLCG2;LGMN;HOMER1;AQP3;BRAF;SLC25A13;CPNE5;PPIF;CAV1;SLC25A24;TRPC1;TTN;PPP3CA	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Chemokine Production (GO:0032642)	0.6605345368964199	1.7996297836341515	0.007389162561576354	0.031163242271096372	0.939	6/21	8.83%	TNF;IL6R;TLR3;CD74;EGR1;FOXP1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)	0.584379415559923	1.7981820010272145	0.0	0.03157494329022586	0.941	12/37	13.18%	SYNPO2;FERMT2;ARHGEF10L;SFRP1;FHOD1;TGFBR1;MTSS1;PAK1;CD47;ARHGEF5;S100A10;LPAR1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Proteolysis (GO:0045861)	0.6406869089109279	1.7979139898466252	0.002347417840375587	0.03153133577195281	0.943	5/24	1.84%	PRNP;SERPINE2;CTSB;CSTB;CHAC1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Pulmonary Valve Morphogenesis (GO:0003184)	0.8027759542175448	1.7966663276334114	0.0024390243902439024	0.03181614505882945	0.948	6/10	11.09%	TGFB2;NFATC1;HEY1;JAG1;NOTCH2;SMAD2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Glycosaminoglycan Metabolic Process (GO:0030203)	0.6532575873760629	1.7962547322620632	0.002457002457002457	0.031814387787269235	0.948	7/23	7.44%	HS3ST3B1;GNS;HS3ST1;UGDH;EXT2;FUCA1;XYLT1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	0.41560278331920864	1.7949069166667437	0.0	0.03224350221645981	0.948	92/344	14.27%	TNF;THBS1;ITGAV;MFHAS1;BCAR3;SRC;PDGFRA;FLT1;DAB2;CD4;ITGB1;AXL;CCL5;VEGFA;PMAIP1;IL11;SLC20A1;LIF;PLCG2;TGFB2;NDFIP2;NFAT5;SPRY2;PPARG;BIRC3;IL23A;ARRDC3;CD40;AKR1C2;GSDME;TLR3;PTPRJ;FERMT2;CFLAR;CBL;NTRK2;FGFR1;SOX9;FGF1;CD74;PTK2;SEMA3E;REL;IRAK1;TRAF3IP2;DDR1;TNFRSF10B;PDGFRB;PDCD4;FGF2;TMEM106A;TGFBR1;CHUK;TMEM9B;SASH1;IGFBP6;TNFRSF1A;RAPGEF2;CAV1;DDX3X;IKBKB;WLS;RIPK2;SLC35B2;PELI1;FLCN;BMPR2;BMP6;SPHK1;RTN4;TRIM25;SOX11;FAM110C;ILK;MIOS;TBK1;ADRB2;HLA-DRB1;ADAM8;UBE2V1;PIM2;P2RX4;AGT;LPAR1;EGFR;TNFAIP8L3;BECN1;SLC38A9;MYO1C;TCF7L2;SEH1L;RIPK1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189)	0.7901314737615099	1.7941110182139994	0.004830917874396135	0.03237332579880706	0.949	6/11	15.11%	VEGFA;SOX9;SIX1;PAX8;TACSTD2;SIX2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Chemotaxis (GO:0050921)	0.6494614093768396	1.79396649333807	0.0	0.03225003732556797	0.949	9/22	13.03%	THBS1;VEGFA;LGMN;IL6R;PDGFRB;FGF2;MET;TMSB4X;P2RX4	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Response To BMP (GO:0071772)	0.7264632644785526	1.7928352625369648	0.002570694087403599	0.032364693565884416	0.95	8/14	17.43%	ACVR2A;SOX9;SFRP1;TMEM100;BMPR2;BMP6;ADAMTS7;SMAD9	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Cognition (GO:0050890)	0.6371308028803526	1.7914259887240187	0.0	0.03275558412460731	0.951	9/24	16.71%	TNF;MAGT1;CYFIP1;C5AR1;MFSD2A;TTC8;SETD5;TUSC3;RP9	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Cellular Respiration (GO:0045333)	-0.5284919878300797	-1.7901912851150854	0.0	0.04337463481676532	0.762	29/81	21.58%	COX4I1;NDUFA11;NDUFS7;COX5B;NDUFB11;CYC1;ETFB;NDUFV1;MDH2;NDUFS3;NDUFB10;NDUFS6;UQCRC1;NDUFS8;COX8A;NDUFA10;NDUFA7;COX7B;MTFR2;BLOC1S1;COX15;UQCR11;COX6B1;NDUFB8;ME3;NDUFB9;NDUFA8;MTFR1L;SDHAF4	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of BMP Signaling Pathway (GO:0030513)	0.7114124542168687	1.7900347559000827	0.007425742574257425	0.0330324647698739	0.953	7/16	13.33%	RBPJ;SULF1;BMPR2;NUMA1;SOX11;SMAD2;GDF5	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Fat Cell Differentiation (GO:0045598)	0.5399224411520561	1.7874489488529983	0.0	0.03382196513332978	0.958	15/54	12.34%	TNF;ENPP1;PPARG;FERMT2;MEDAG;CREBL2;SFRP1;ZFP36L1;WWTR1;SMAD3;CREB1;ID2;ZFP36;ASXL2;RORA	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Endothelial Cell Chemotaxis (GO:2001028)	0.7477813373218214	1.7873642552232936	0.0025906735751295338	0.03368120180515394	0.958	9/13	19.33%	VEGFA;LGMN;FGFR1;FGF2;MET;TMSB4X;P2RX4;PRKD1;SMOC2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Wound Healing (GO:0090303)	0.6154892608432134	1.786446066377962	0.0024390243902439024	0.03393648674187886	0.958	6/26	4.10%	THBS1;FOXC2;ITGB1;KANK1;FERMT2;PTK2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Fat Cell Differentiation (GO:0045599)	0.644206168249116	1.7858921084500239	0.0	0.034040399150257715	0.958	6/23	9.42%	TNF;ENPP1;FERMT2;WWTR1;SMAD3;FLCN	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Peptide Cross-Linking (GO:0018149)	0.8035756589952523	1.7857456736706756	0.0	0.03397474949511393	0.958	3/10	3.83%	THBS1;F13A1;FGFR1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of GTPase Activity (GO:0043087)	0.45956491889387285	1.7853023598192201	0.0	0.033996980893865325	0.96	30/135	11.51%	SNX9;RGL1;CCL2;BCAR3;ITGB1;TBC1D10B;GPR137B;CCL5;RDX;RGS1;TMED2;CD40;RGS10;FERMT2;NTRK2;RALGPS1;PTK2;SFRP1;RAPGEF6;RGP1;RAPGEF2;RGS16;FLCN;RALGDS;PLXNA2;ARHGEF5;S100A10;RGL3;LRCH1;ARHGAP12	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	B Cell Activation (GO:0042113)	0.5570799763430632	1.7841998873991973	0.005	0.03419281893823803	0.961	9/42	3.23%	ITGB1;IL11;PLCG2;GPR183;CLCF1;PIK3R1;CD40;SLC39A7;PTPRJ	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Aerobic Electron Transport Chain (GO:0019646)	-0.5427390337362664	-1.783862624262323	0.001607717041800643	0.04616741757134906	0.793	17/64	13.93%	COX4I1;NDUFS7;COX5B;CYC1;NDUFV1;NDUFS3;NDUFB10;NDUFS6;UQCRC1;NDUFS8;COX8A;NDUFA10;NDUFA7;UQCC3;COX7B;COX15;UQCR11	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)	0.7246817336302767	1.7833313494351644	0.011933174224343675	0.03431371006912513	0.961	5/14	5.60%	CCL2;FLT1;PPARG;FGFR1;FGF2	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414)	0.6964786187940024	1.783099420938198	0.012690355329949238	0.034267889980777545	0.962	8/16	16.52%	CCL2;ATP1B1;DMD;ATP1B3;ANK2;ADRB2;EDN1;ANK3	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
