source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
NP_notochordal	AF_outer	PTGS2	CAV1	1.0413553	0.18	0.7841281	0.027076374840958595	0.24340925420129744	0.004694812	0.76779246	0.6651738201679332	0.5827321916949305	degenerated	True	pain_ligand:PTGS2
AF_inner	Classical monocytes	TNFSF10	TNFRSF10C	0.2738316	0.0	0.06968339	0.8019671225065073	0.6729557004422604	0.035061914	0.4963957	0.0076831321448576845	0.5827407155500304	degenerated	True	pain_ligand:TNF
Macrophages	Tcm/Naive helper T cells	CXCL2	DPP4	1.4522599	0.0	0.74207085	2.0224561462635258	1.9292674382448494	0.073695526	0.762842	0.00032026829926382104	0.5832826075201253	degenerated	True	pain_ligand:CXCL2
NP_mature_chondrocyte	Plasma cells	IL11	IL6R	0.6342573	0.0	0.38789228	0.6941823776899623	1.019335743311593	0.025778202	0.69929975	0.005963467576966869	0.5833470217363143	degenerated	True	pain_receptor:IL6R
DC	Tcm/Naive helper T cells	TNF	SEMA4C	0.9073527	0.0	0.47794864	2.9984741219365256	1.902623667675638	0.043856576	0.7207839	0.0008959086184361967	0.5833470217363143	degenerated	True	pain_ligand:TNF
Fibroblasts	NP_stressed_degenerative	VEGFA	CD44	0.6341813	0.97	0.3903634	-0.3232896012765073	-0.3712501040878081	0.0013518881	0.699967	1.0	0.5835179058597205	degenerated	True	pain_ligand:VEGFA
DC	Endothelial cells	VEGFA	ITGA9	0.63411355	0.08	0.32019824	1.0384817246197375	0.3206951547901847	0.04389885	0.67875844	0.17775401220150525	0.5835749947139435	degenerated	True	pain_ligand:VEGFA
Small pre-B cells	NP_stressed_degenerative	IL11	IL6R	0.72911745	0.0	0.4780944	0.8309221582130739	1.6689127529719583	0.03177277	0.7208146	0.005963467576966869	0.583688823352095	degenerated	True	pain_receptor:IL6R
Fibroblasts	Tem/Trm cytotoxic T cells	VEGFA	CD44	1.0407758	0.29	0.8176533	0.07735947165247939	-0.04307361731776693	0.0028316583	0.7715036	1.0	0.5839019566473088	degenerated	True	pain_ligand:VEGFA
Fibroblasts	Tem/Temra cytotoxic T cells	ANGPT2	ITGA5_ITGB1	0.63392687	0.76	0.31027174	2.1582696376597568	0.14039914405463572	0.006534339	0.6753155	0.3751997403642313	0.584258909524987	degenerated	True	pain_ligand:ANGPT2
AF_mechanical_stress	Classical monocytes	VEGFA	NRP2	1.0405416	0.02	0.98314506	0.30483749766711454	0.6621027975531381	0.0131612625	0.7873424	0.14989686201302985	0.5843149811949897	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
NP_mature_chondrocyte	Classical monocytes	ADAM17	IL6R	0.27238315	0.32	0.06986133	0.05730482905913357	0.1946308226451663	0.0033958436	0.49671453	0.927692897997189	0.5843566593154441	degenerated	True	pain_receptor:IL6R
NP_mature_chondrocyte	NP_notochordal	NGF	SORT1	0.6338415	0.0	0.38320512	0.829375627084963	1.1849448599930097	0.06356163	0.69802	0.005963467576966869	0.5843730073374559	degenerated	True	pain_ligand:NGF
AF_outer	Classical monocytes	VEGFA	NRP2	0.6924089	0.6	0.4783695	-0.03468337296381622	0.12516523454259731	0.006403884	0.72087246	1.0	0.5846580463754275	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
