source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition
Macrophage	NP_fibrocartilaginous	LAMC1	ITGA2_ITGB1	0.44127434	0.0	0.10813894	0.41106042801314974	0.47169896477446316	0.01973039	0.547095	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMC1	ITGA1	0.44100523	0.0	0.1077431	0.33629674184947156	0.3842401942547384	0.008908178	0.54664063	0.400916738386611	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMB2	ITGA2_ITGB1	0.3506903	0.17	0.08150314	0.06535411308386077	0.061616364955748154	0.01261318	0.5118859	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMB2	DAG1	0.40158993	0.12	0.13793638	0.05801617111153681	0.06641430634902645	0.011295572	0.5770385	0.9599854172702826	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMB1	ITGA2_ITGB1	0.35925055	0.0	0.08402024	0.507169322056308	0.5116786388407326	0.026327116	0.51568496	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMB1	ITGA1	0.35898143	0.0	0.08371269	0.4324056358926298	0.42421986832100783	0.01188657	0.515227	0.2543216621306793	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMB1	DAG1	0.41015017	0.0	0.14219633	0.49983138008398403	0.5164765802340109	0.023576913	0.5807459	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	LAMA4	ITGA2_ITGB1	0.44406283	0.0	0.108958885	0.38302970755648696	0.46614305176280646	0.019100444	0.54803073	0.042329237591318555	1.0	healthy
Macrophage	NP_fibrocartilaginous	JAG1	NOTCH2	0.4529153	0.0	0.19589044	0.2322456372936432	0.3018899205368793	0.014373965	0.61916596	0.11635117222764933	1.0	healthy
Macrophage	NP_fibrocartilaginous	ITGB3BP	ITGB5	0.4281919	0.0	0.15035273	0.09923981346461919	0.1278215946632058	0.013778722	0.58752036	0.4146515996760122	1.0	healthy
Macrophage	NP_fibrocartilaginous	ICAM1	EGFR	0.35703474	0.0	0.12326077	0.2798191298559558	0.35391268566401524	0.020912696	0.56325495	0.06082955984135395	1.0	healthy
Pericyte_SMC	B_cell	FAM3C	CLEC2D	0.45242476	0.65	0.19385324	0.21020481419821538	0.1677384994426177	0.018844059	0.6179326	1.0	1.0	healthy
Pericyte_SMC	B_cell	CP	SLC40A1	0.29548168	1.0	0.087306865	-0.36558830837528766	-0.8635608579369687	0.0028824026	0.52047515	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	HBEGF	CD82	0.32797635	0.05	0.10597276	0.05257597685747154	-0.024852146115565854	0.0112874275	0.54458696	0.8513685106237788	1.0	healthy
Macrophage	NP_fibrocartilaginous	GRN	SORT1	0.52274114	0.13	0.10991985	0.017045866415852862	-0.05191962362925284	0.0053194333	0.549118	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	GPI	AMFR	0.2989127	0.91	0.084265776	-0.040326924836485395	-0.09085720334787312	0.0059349006	0.51604944	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	GAS6	AXL	0.7471664	0.0	0.5571564	0.16526461885149402	0.294848588798641	0.015968325	0.73275685	0.22323638507482915	1.0	healthy
Macrophage	NP_fibrocartilaginous	FN1	SDC2	0.7799542	1.0	0.5517916	-0.799597087376119	-1.1830103773462324	0.0033482867	0.73180836	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	FN1	PLAUR	0.76527417	1.0	0.52191114	-0.5609190276158118	-0.7713233339336731	0.004068985	0.7263099	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	FN1	ITGA2	0.5823758	1.0	0.14962915	-0.5360209706260171	-0.7245441994446297	0.0054764827	0.58693564	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	FAM3C	LAMP1	0.7645974	1.0	0.5626539	-0.13626827260149885	-0.24461075946980804	0.0074067037	0.7337171	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	EDIL3	ITGB5	0.43865693	1.0	0.1631167	-0.21946337561238594	-0.4490612662777862	0.0059700804	0.59735703	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	EDIL3	ITGAV	0.32437438	1.0	0.101981215	-0.3140504512870815	-0.6010085174812466	0.0037498465	0.53982204	1.0	1.0	healthy
Pericyte_SMC	B_cell	HBEGF	CD9	0.37032694	1.0	0.10504654	-0.4908068351880212	-0.6724910247087177	0.0025521317	0.54349816	1.0	1.0	healthy
Pericyte_SMC	B_cell	HBEGF	CD44	0.45450106	1.0	0.13723047	-0.13394130107708507	-0.23435270682967946	0.0046488605	0.5764123	1.0	1.0	healthy
Pericyte_SMC	B_cell	GPI	AMFR	0.3632875	0.11	0.113566816	0.048769866737411904	0.010712479084271698	0.007998594	0.55315524	0.9471781933795056	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL6A2	ITGA11_ITGB1	0.4170608	1.0	0.1727631	-0.4876428598367218	-0.8138505321122831	0.0036879077	0.6042469	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL6A2	ITGA10_ITGB1	0.35426348	1.0	0.11607445	-0.6719900827124689	-1.2299321706822974	0.002123007	0.5558528	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL6A1	ITGA11_ITGB1	0.41725114	1.0	0.17290883	-0.4228499235547334	-0.7683907463195979	0.004050004	0.60434777	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL6A1	ITGA10_ITGB1	0.35445386	1.0	0.11617236	-0.6071971464304804	-1.1844723848896122	0.0023314536	0.5559569	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL3A1	ITGA11_ITGB1	0.3342082	1.0	0.10933792	-0.24566017964583967	-0.6064132030554837	0.0036432939	0.5484607	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL27A1	ITGA11_ITGB1	0.30336586	1.0	0.085727535	-0.11404176634027799	-0.3468331266836851	0.007644945	0.5181967	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL1A2	ITGA11_ITGB1	0.35285342	1.0	0.12361119	-0.36110147968831247	-0.8364763162018487	0.0031043557	0.5636041	1.0	1.0	healthy
Macrophage	NP_fibrocartilaginous	COL1A2	ITGA10_ITGB1	0.29005617	1.0	0.08305072	-0.5454487025640595	-1.252557954771863	0.0017870752	0.51423556	1.0	1.0	healthy
