source_healthy	target_healthy	ligand_complex_healthy	receptor_complex_healthy	lr_means_healthy	cellphone_pvals_healthy	expr_prod_healthy	scaled_weight_healthy	lr_logfc_healthy	spec_weight_healthy	lrscore_healthy	specificity_rank_healthy	magnitude_rank_healthy	condition_healthy	is_pain_relevant_healthy	pain_categories_healthy	interaction_key	source_degen	target_degen	ligand_complex_degen	receptor_complex_degen	lr_means_degen	cellphone_pvals_degen	expr_prod_degen	scaled_weight_degen	lr_logfc_degen	spec_weight_degen	lrscore_degen	specificity_rank_degen	magnitude_rank_degen	condition_degen	is_pain_relevant_degen	pain_categories_degen	rank_diff
NP_stressed	NP_stressed	HBEGF	EGFR_ERBB2	0.07622984	0.82	0.0057042446	-0.23030626874644827	-0.500885649894456	0.000920572	0.21690299	1.0	0.0006880908966896306	healthy	False		NP_stressed|NP_stressed|HBEGF|EGFR_ERBB2																	-0.9993119091033104
NP_stressed	NP_stressed	WNT9A	FZD1_LRP5	0.07622984	0.33	0.0057042446	0.17485810638242325	-0.049335453570178406	0.024989141	0.21690299	0.8997519632631803	0.0006880908966896306	healthy	False		NP_stressed|NP_stressed|WNT9A|FZD1_LRP5																	-0.9993119091033104
NP_stressed	NP_stressed	WNT9A	FZD1_LRP6	0.07622984	0.33	0.0057042446	0.17485810638242325	-0.049335453570178406	0.024989141	0.21690299	0.8997519632631803	0.0006880908966896306	healthy	False		NP_stressed|NP_stressed|WNT9A|FZD1_LRP6																	-0.9993119091033104
NP_stressed	NP_stressed	EFNB1	ERBB2	0.07622984	0.43	0.0057042446	0.04050674498009543	-0.10782236524656533	0.008100103	0.21690299	1.0	0.0006880908966896306	healthy	False		NP_stressed|NP_stressed|EFNB1|ERBB2																	-0.9993119091033104
NP_stressed	NP_stressed	FGF13	EGFR	0.07622984	0.75	0.0057042446	-0.21505837465141148	-0.4152224245574086	0.000987977	0.21690299	1.0	0.0006880908966896306	healthy	False		NP_stressed|NP_stressed|FGF13|EGFR																	-0.9993119091033104
Fibrochondrocyte_fibroid	Pericyte_SMC	GNAI2	CAV1	1.9834225	0.0	3.888531	0.83135618445906	0.8673190302909011	0.01641007	0.87851924	0.016959164455791913	0.0006918342383176519	healthy	False		Fibrochondrocyte_fibroid|Pericyte_SMC|GNAI2|CAV1																	-0.9993081657616824
Pericyte_SMC	Fibroblast_like	VEGFA	ITGB1	1.9739257	0.0	3.8962922	1.112932562480368	1.101176390183682	0.025403308	0.8786256	0.013543634859531613	0.0007531084909599612	healthy	True	pain_ligand:VEGFA	Pericyte_SMC|Fibroblast_like|VEGFA|ITGB1																	-0.99924689150904
AF_outer	Pericyte_SMC	CD99	CD81	1.9669788	0.21	3.8666303	0.1413564452187079	0.09466122884481631	0.009253247	0.87821746	0.72127580262689	0.0007783414821632215	healthy	False		AF_outer|Pericyte_SMC|CD99|CD81																	-0.9992216585178367
Fibrochondrocyte_stressed	Pericyte_SMC	GNAI2	CAV1	1.9591217	0.0	3.7817738	0.8058720281685985	0.8158243864546417	0.01595954	0.87702584	0.019744877564486688	0.0008083019897354996	healthy	False		Fibrochondrocyte_stressed|Pericyte_SMC|GNAI2|CAV1																	-0.9991916980102645
Pericyte_SMC	NP_mature_chondrocyte	A2M	LRP1	1.9828455	0.0	3.6453462	1.225605505430499	1.2025061817174905	0.03905564	0.87503076	0.002445354443770971	0.0008126280195626296	healthy	False		Pericyte_SMC|NP_mature_chondrocyte|A2M|LRP1																	-0.9991873719804374
