names	scores	logfoldchanges	pvals	pvals_adj	cluster
COL6A1	22.709461	1.1086519	3.612385333656349e-114	1.8064705426230713e-111	3
MMP14	22.65149	1.3567945	1.348743108448573e-113	6.576134211018129e-111	3
COL5A2	22.37778	1.1250323	6.478848894727511e-111	3.0818778047285523e-108	3
DST	22.323723	0.9784843	2.17411977336814e-110	1.0095680461904484e-107	3
TM4SF1	21.841171	1.2086033	9.430507182406293e-106	4.180072308601589e-103	3
TPM1	21.447554	1.1694174	4.8130726049919344e-102	2.0859856670035046e-99	3
ITGA10	21.437523	1.2117807	5.970859608652619e-102	2.5315146727728702e-99	3
CYBRD1	21.061956	0.9960307	1.7768683453874515e-98	7.373247519168397e-96	3
TSPAN4	20.98356	1.1662313	9.268675756963792e-98	3.7659788185013506e-95	3
CLEC11A	20.813383	0.9829089	3.274060615704784e-96	1.3031429426140898e-93	3
COLEC12	20.757534	1.6819471	1.0480939879657164e-95	4.088195409459074e-93	3
MATN2	20.424665	1.3402277	1.0094604037364178e-92	3.8602953439355605e-90	3
GSN	20.343456	0.7955476	5.3055533799165e-92	1.9898886070867596e-89	3
SNHG5	20.181576	0.8983158	1.4214415591147993e-90	5.133773097669617e-88	3
ARL6IP5	20.020945	0.78643084	3.618022712830811e-89	1.2829508539698056e-86	3
EMP2	20.005962	1.0421581	4.886612501511326e-89	1.671993045911849e-86	3
FMOD	61.907307	2.2778447	0.0	0.0	4
CILP	60.44424	3.9567966	0.0	0.0	4
ABI3BP	57.59109	2.4573565	0.0	0.0	4
OGN	56.98617	2.5374684	0.0	0.0	4
COL2A1	53.887604	2.750383	0.0	0.0	4
PRELP	53.57245	2.1504076	0.0	0.0	4
IGFBP7	53.319588	2.050831	0.0	0.0	4
CILP2	51.59738	2.972779	0.0	0.0	4
TSPAN2	50.46296	2.9211533	0.0	0.0	4
BGN	48.35494	1.3853773	0.0	0.0	4
PRG4	48.247917	3.6072578	0.0	0.0	4
SERPINA5	48.122646	2.187279	0.0	0.0	4
PLOD2	48.014668	1.6202772	0.0	0.0	4
COMP	46.39742	1.9838656	0.0	0.0	4
VCAN	46.342403	2.282916	0.0	0.0	4
NDUFA4L2	45.51712	1.3688477	0.0	0.0	4
SPARC	45.263412	1.8237531	0.0	0.0	4
CAPS	42.82649	1.9530689	0.0	0.0	4
LDHA	42.444675	1.1849619	0.0	0.0	4
RPL34	41.588253	0.9094165	0.0	0.0	4
CLU	40.33314	1.9171754	0.0	0.0	4
CRIP2	40.20294	1.5624186	0.0	0.0	4
NGF	39.382538	3.1970558	0.0	0.0	4
TNFRSF11B	38.4767	2.169991	0.0	0.0	4
FGFBP2	38.471752	1.7262948	0.0	0.0	4
RPL23A	37.50047	0.7672149	9.050332842058628e-308	3.1519400253333825e-305	4
S100A4	36.43675	1.2760872	1.1153637797552518e-290	3.566055704355193e-288	4
FHL1	36.296947	1.7093824	1.8075870313750715e-288	5.595772995699686e-286	4
BNIP3	35.851723	1.5723588	1.728857640802441e-281	5.187370856703078e-279	4
PMEPA1	35.478806	1.4668759	1.0434683991530034e-275	3.037427490847914e-273	4
AL158823.1	34.898857	9.355841	7.737132202619513e-267	2.1869172369230195e-264	4
FXYD6	34.370296	1.1636932	7.008201579648045e-259	1.847039937944268e-256	4
DCN	34.09518	1.2192026	8.695355307950202e-255	2.2313883496178e-252	4
DPT	34.011223	2.1028411	1.5205111234609443e-253	3.8512374598517915e-251	4
OAF	33.73583	1.7881436	1.7252636727362305e-249	4.259217393591735e-247	4
S100A1	32.7428	1.2928585	3.844064763634381e-235	8.820093539430745e-233	4
ITIH5	32.72598	1.978385	6.670519243367719e-235	1.5127341488767513e-232	4
CDO1	32.59657	1.7080936	4.586991694463537e-233	1.0282770001968086e-230	4
RPL21	32.10587	0.658006	3.651096903292396e-226	8.091743511921773e-224	4
EEF1D	31.64223	1.003449	9.699685611869216e-220	2.078823829541597e-217	4
LGALS3	31.636223	0.871252	1.1732062418201455e-219	2.4870697102411192e-217	4
RPL31	31.16191	0.6195805	3.498465701078712e-213	7.182165954540854e-211	4
RGCC	31.113354	1.2451171	1.589137943608621e-212	3.195150238577209e-210	4
HTRA1	31.033804	0.98970896	1.8871853799886837e-211	3.717755198577707e-209	4
TPI1	30.99742	0.8116607	5.839804457734032e-211	1.1388567594324967e-208	4
CA9	30.64174	1.6340581	3.404696357919452e-206	6.50997971259834e-204	4
SCRG1	30.473703	1.3319527	5.8142317235524965e-204	1.100921954412081e-201	4
AC109326.1	30.35391	2.8844466	2.231011782148457e-202	4.14394502735632e-200	4
CRTAC1	30.307531	1.8511028	9.12223632891402e-202	1.6627193936711227e-199	4
SLC29A1	30.19901	1.1612886	2.440416900192587e-200	4.366555119674865e-198	4
TNC	85.25774	5.3942995	0.0	0.0	5
COL1A2	78.87497	4.283061	0.0	0.0	5
COL1A1	78.089676	5.6894584	0.0	0.0	5
POSTN	71.61786	4.738086	0.0	0.0	5
CD99	70.87495	2.1901658	0.0	0.0	5
LTBP1	69.61454	3.42566	0.0	0.0	5
THY1	69.34852	3.1399033	0.0	0.0	5
LGALS1	68.779175	3.1364622	0.0	0.0	5
MTND2P28	68.51224	4.2991276	0.0	0.0	5
PCOLCE	68.244385	2.8952777	0.0	0.0	5
ITGB1	68.237274	2.673262	0.0	0.0	5
COL3A1	68.0187	3.7651284	0.0	0.0	5
COL5A2	67.775406	2.9019816	0.0	0.0	5
COL6A2	67.742645	2.6447482	0.0	0.0	5
S100A10	67.51435	2.1392465	0.0	0.0	5
ISLR	66.69019	2.4636095	0.0	0.0	5
COL5A1	66.67598	2.9603193	0.0	0.0	5
ANXA2	66.28334	1.9334165	0.0	0.0	5
COL6A1	66.154785	2.7944093	0.0	0.0	5
COL6A3	65.47998	3.1520646	0.0	0.0	5
PPIB	65.09172	2.0337152	0.0	0.0	5
SERPINH1	64.99012	2.848802	0.0	0.0	5
PRSS23	64.91027	3.062958	0.0	0.0	5
FAP	63.73145	2.638342	0.0	0.0	5
COL8A1	63.509476	3.4381793	0.0	0.0	5
TGFBI	63.05162	2.8485603	0.0	0.0	5
VIM	62.39716	1.5814866	0.0	0.0	5
CERCAM	62.056503	3.0815387	0.0	0.0	5
THBS2	61.89823	3.1297927	0.0	0.0	5
COL12A1	61.866627	3.5298808	0.0	0.0	5
FBN1	61.86179	2.917926	0.0	0.0	5
ANPEP	61.85714	3.5235958	0.0	0.0	5
EFEMP2	61.62213	2.3784366	0.0	0.0	5
AL450405.1	60.955154	2.7550616	0.0	0.0	5
GJA1	60.76421	3.0961041	0.0	0.0	5
ECM1	60.714497	2.3388705	0.0	0.0	5
TPM1	60.65449	2.5905159	0.0	0.0	5
RCN3	60.10996	2.119687	0.0	0.0	5
FSTL1	59.993053	2.294361	0.0	0.0	5
MRC2	59.728252	2.180801	0.0	0.0	5
CD151	59.681095	2.1934795	0.0	0.0	5
COL14A1	59.37424	4.862064	0.0	0.0	5
FNDC1	59.022736	3.5092869	0.0	0.0	5
C12orf75	58.905098	3.141822	0.0	0.0	5
ITGA11	58.42417	2.7123237	0.0	0.0	5
CD63	58.11054	1.2614424	0.0	0.0	5
ITGBL1	58.046276	2.6671813	0.0	0.0	5
SPARC	57.480133	2.1743934	0.0	0.0	5
MMP14	57.243633	2.6519856	0.0	0.0	5
S100A4	56.998966	1.9940398	0.0	0.0	5
FN1	69.46964	2.921237	0.0	0.0	6
COL2A1	52.380684	3.2607944	0.0	0.0	6
COL11A1	50.917557	2.3127558	0.0	0.0	6
AEBP1	46.457928	1.7239829	0.0	0.0	6
COL11A2	40.3997	2.3020575	0.0	0.0	6
COL9A3	40.131104	2.0845015	0.0	0.0	6
CCDC80	39.97207	1.9606526	0.0	0.0	6
CNMD	39.74461	2.0741866	0.0	0.0	6
SERPINA5	38.964016	1.984887	0.0	0.0	6
SMOC2	38.523388	3.4110236	0.0	0.0	6
PAM	36.30515	1.590349	1.3419593870546764e-288	9.347226402045485e-286	6
FMOD	35.068733	1.5691633	2.020619985907061e-269	1.2712306962950132e-266	6
TGFBI	35.031277	1.7383592	7.518319175688524e-269	4.582180590107915e-266	6
CD81	35.0026	2.007417	2.0539305172913192e-268	1.2138729357191697e-265	6
HAPLN1	33.307873	1.3400795	2.969625304232085e-243	1.5653135759037393e-240	6
COMP	32.31618	1.6844474	4.1450968125246444e-229	1.9248053127301936e-226	6
CHI3L2	32.162918	2.485371	5.827904450729401e-227	2.583218647785807e-224	6
COL9A2	32.028103	1.7960114	4.4309605926439855e-225	1.9203783208519033e-222	6
TACSTD2	31.941795	4.333317	7.023168889449957e-224	2.9776709315422285e-221	6
PLOD2	31.347383	1.1891625	1.056169129166369e-215	4.2037686788023865e-213	6
SERPINE2	31.206324	1.4126873	8.744581606451851e-214	3.410911501412609e-211	6
CRTAC1	30.314713	1.851644	7.336088451997933e-202	2.6013769650784673e-199	6
HTRA1	30.16165	1.2048591	7.546012003787346e-200	2.5819275808748177e-197	6
COL1A2	30.151283	1.5588422	1.0318948369836041e-199	3.4698353458088326e-197	6
COL5A1	29.74914	1.6423007	1.779143850380876e-194	5.596555244190037e-192	6
MELTF	29.51527	1.6075631	1.833656330715094e-191	5.418454457263103e-189	6
MALAT1	29.487516	1.194026	4.1622212583497553e-191	1.2115791224118698e-188	6
TRPV4	29.44349	1.9602965	1.525368444886942e-190	4.3748912912691216e-188	6
SLC39A14	28.987331	1.4095498	9.504131945556182e-185	2.539165552523044e-182	6
TNFSF11	28.79017	3.238395	2.847730706319088e-182	7.1204220468386125e-180	6
