names	scores	logfoldchanges	pvals	pvals_adj	cluster
S100A13	35.574455	0.9827459	3.4794173602538947e-277	1.5303794086695104e-274	6
TSPAN6	35.163284	1.5244653	7.283588671683825e-271	3.1192926853416467e-268	6
SOD1	35.008682	0.7273078	1.659858317287605e-268	6.926290834753458e-266	6
SNORC	34.992413	1.6333297	2.934630803980582e-268	1.1939545425994999e-265	6
CCDC80	34.846653	1.1478322	4.7847968512112463e-266	1.899214242844191e-263	6
CPE	34.83539	1.3968868	7.087113198204345e-266	2.74608762351375e-263	6
TIMP4	34.227947	1.7078128	9.285676166262888e-257	3.514304509994471e-254	6
S100A1	34.18135	1.3672386	4.576923561573799e-256	1.6928375918420912e-253	6
PELI1	34.063747	1.3860483	2.5403913683051846e-254	9.187184250621904e-252	6
CTSK	34.030098	1.2305188	7.996243926272463e-254	2.8289320360034357e-251	6
ATRAID	33.976997	1.129897	4.872245717407713e-253	1.6870409958530453e-250	6
IGFBP7	33.60233	1.3076521	1.5512086669561304e-247	5.0488739692088135e-245	6
BEX3	33.43901	1.072564	3.718044349223602e-245	1.1864206615542136e-242	6
PROCR	33.09732	1.8721609	3.247805372900269e-240	1.0164381661265189e-237	6
SERF2	32.248962	0.6795694	3.6379854110703784e-228	1.1170674449011196e-225	6
MT-RNR2	32.142857	0.7556926	1.1114162030240782e-226	3.349479127409972e-224	6
CD74	20.44849	11.81116	6.19646729258246e-93	3.3613769573162314e-89	7
LAPTM5	19.97825	8.266236	8.515461292067465e-89	2.771612341342119e-85	7
FTL	19.755955	2.5420249	7.129508559615739e-87	1.933760371653109e-83	7
CTSS	19.645302	7.8725805	6.341909140602968e-86	1.2901028669271588e-82	7
SRGN	19.47263	5.543492	1.8739746114418502e-84	2.541421902217056e-81	7
B2M	19.333075	2.090095	2.83039443649345e-83	3.2901313613924575e-80	7
HLA-DRB1	19.325373	10.170217	3.285998442871053e-83	3.565089243952234e-80	7
CXCL8	18.887964	8.699812	1.4326595584880275e-79	1.2952834252685644e-76	7
CXCL3	18.50005	8.742323	2.0628640478416985e-76	1.67855247572879e-73	7
CFLAR	18.209	5.1192536	4.3787071704361146e-74	2.850363219667093e-71	7
RGS1	18.20483	10.229541	4.725165049801927e-74	2.957589846941406e-71	7
HLA-DPB1	18.133097	6.245304	1.7464257513205665e-73	1.0526419509996629e-70	7
FTH1	17.52883	2.9471583	8.632834439458243e-69	4.390335864616983e-66	7
BCL2A1	17.426287	6.2641287	5.212313354243006e-68	2.570460228089415e-65	7
LCP1	17.264631	10.28422	8.685650181577144e-67	3.926396418194068e-64	7
HLA-DPA1	17.260899	6.7985816	9.265821075158098e-67	4.0754587074898075e-64	7
S100A11	17.257391	2.0786293	9.846105764424478e-67	4.2167243476379985e-64	7
CXCL2	17.118032	6.4165006	1.0889549608807458e-65	4.219441198422204e-63	7
FCER1G	17.00079	7.660913	8.102013033889157e-65	2.9966400025798213e-62	7
GPR183	16.885437	6.7256637	5.7588520936651067e-64	1.9940331696235306e-61	7
LCP2	16.860352	11.21671	8.80636889604642e-64	2.963386320864242e-61	7
