source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score,interaction,pair
AF_fibroblast,AF_fibroblast,CCN2,LRP1,0.43466290643346855,2.0230687654892447,1.5884058590557761,CCN2 → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN2,LRP6,-0.0,0.6426282875628254,0.6426282875628254,CCN2 → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN4,ITGA5,0.0,0.10947768822619999,0.10947768822619999,CCN4 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CCN4,ITGB1,0.0,0.3644300105385511,0.3644300105385511,CCN4 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD14,ITGB1,0.3031146116944342,0.4342205863046987,0.13110597461026446,CD14 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD14,RIPK1,0.0,-0.0,-0.0,CD14 → RIPK1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD47,SIRPA,-0.0,0.010125463992647788,0.010125463992647788,CD47 → SIRPA,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD55,ADGRE5,-0.0,0.16206439542151324,0.16206439542151324,CD55 → ADGRE5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD99,CD81,2.8907276362296206,2.4160248064274965,-0.4747028298021241,CD99 → CD81,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CD99,CD99L2,0.0,0.1426704005826159,0.1426704005826159,CD99 → CD99L2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CIRBP,TREM1,0.0,0.1936997986859445,0.1936997986859445,CIRBP → TREM1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CKLF,LRP6,0.049641618805510136,-0.0,-0.049641618805510136,CKLF → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CLEC11A,ITGA10,0.07280950909434264,0.07512369015331553,0.0023141810589728945,CLEC11A → ITGA10,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CLEC11A,ITGA11,0.1890023273459912,0.10949780373578949,-0.07950452361020172,CLEC11A → ITGA11,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CLEC11A,ITGB1,0.710107983727748,1.141210047292819,0.4311020635650711,CLEC11A → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,CNMD,PTPRD,0.17375427263020618,-0.0,-0.17375427263020618,CNMD → PTPRD,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A1,ITGA10_ITGB1,0.31527017975433985,0.22764546135346783,-0.08762471840087202,COL11A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A1,ITGA11_ITGB1,0.13609893397654443,0.26343586318058004,0.1273369292040356,COL11A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A1,ITGA1_ITGB1,0.28686868378284347,0.32110916144414486,0.034240477661301394,COL11A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A2,ITGA10_ITGB1,0.12784678895435428,0.13102031829442665,0.0031735293400723674,COL11A2 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A2,ITGA11_ITGB1,0.17732598351310935,0.198805167765884,0.021479184252774647,COL11A2 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL11A2,ITGA1_ITGB1,0.004099206803321543,-0.0,-0.004099206803321543,COL11A2 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL12A1,ITGA10_ITGB1,0.07692914436305114,0.7348657516368085,0.6579366072737574,COL12A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL12A1,ITGA11_ITGB1,0.18261229093046913,0.7866409532954333,0.6040286623649641,COL12A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL12A1,ITGA1_ITGB1,0.3099274423777895,0.10236689372203667,-0.20756054865575285,COL12A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL14A1,CD44,0.322692526107481,0.8945304908679934,0.5718379647605124,COL14A1 → CD44,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL14A1,ITGA10_ITGB1,0.12973694317540743,0.583310079893014,0.4535731367176066,COL14A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL14A1,ITGA11_ITGB1,0.1305181992460094,0.6354019615266419,0.5048837622806325,COL14A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL14A1,ITGA1_ITGB1,0.37331712568590303,0.1043297519462323,-0.26898737373967074,COL14A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL15A1,ITGA10_ITGB1,0.13483828849668564,-0.0,-0.13483828849668564,COL15A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL15A1,ITGA11_ITGB1,0.16948110426516427,0.012681237686673187,-0.1567998665784911,COL15A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL15A1,ITGA1_ITGB1,-0.0,0.21806730540339186,0.21806730540339186,COL15A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL16A1,ITGA10_ITGB1,0.11610628615370486,0.22552838518166396,0.1094220990279591,COL16A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL16A1,ITGA11_ITGB1,-0.0,0.2938845422243258,0.2938845422243258,COL16A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL16A1,ITGA1_ITGB1,-0.0,-0.0,0.0,COL16A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,GPC1,-0.0,-0.0,0.0,COL18A1 → GPC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,ITGA10_ITGB1,-0.0,0.1445440740613353,0.1445440740613353,COL18A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,ITGA11_ITGB1,-0.0,0.2133640555621507,0.2133640555621507,COL18A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,ITGA1_ITGB1,0.15663666341749316,-0.0,-0.15663666341749316,COL18A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,ITGA5,0.030490581288745794,-0.0,-0.030490581288745794,COL18A1 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL18A1,ITGB5,-0.0,0.28804915820854543,0.28804915820854543,COL18A1 → ITGB5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,CD44,0.7546671627307374,2.169342702001319,1.4146755392705819,COL1A1 → CD44,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,DDR2,0.7395255112030806,2.064985008024789,1.3254594968217082,COL1A1 → DDR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,ITGA10_ITGB1,0.5486585020682603,1.7688375291197214,1.220179027051461,COL1A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,ITGA11_ITGB1,0.36500505963715185,1.909751891842511,1.544746832205359,COL1A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,ITGA1_ITGB1,0.12149208904954269,0.5093445302781395,0.38785244122859686,COL1A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,ITGA5,0.17095746280566695,0.8300159430880226,0.6590584802823557,COL1A1 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,ITGAV_ITGB8,0.0,0.40268496727430336,0.40268496727430336,COL1A1 → ITGAV_ITGB8,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A1,SDC1,0.0,0.4049495630238256,0.4049495630238256,COL1A1 → SDC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,CD44,1.7061605477340147,3.068976640567827,1.3628160928338122,COL1A2 → CD44,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,ITGA10_ITGB1,1.4512637249769302,2.117195531552767,0.6659318065758366,COL1A2 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,ITGA11_ITGB1,0.8988342527580335,2.2764038852870327,1.3775696325289992,COL1A2 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,ITGA1_ITGB1,0.4430106873726207,0.6729432888419385,0.22993260146931782,COL1A2 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,ITGAV_ITGB8,0.0,0.623750337270489,0.623750337270489,COL1A2 → ITGAV_ITGB8,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL1A2,SDC1,0.0,0.6276760526799993,0.6276760526799993,COL1A2 → SDC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL27A1,ITGA10_ITGB1,0.12449389098911669,0.02910484384895549,-0.09538904714016119,COL27A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL27A1,ITGA11_ITGB1,-0.0,0.0766723820083746,0.0766723820083746,COL27A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL27A1,ITGA1_ITGB1,-0.0,0.10129859831674741,0.10129859831674741,COL27A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,CD44,1.0914920772221115,0.3547277179758196,-0.7367643592462919,COL2A1 → CD44,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,ITGA10_ITGB1,0.8536208172468295,0.15102672720647747,-0.702594090040352,COL2A1 → ITGA10_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,ITGA11_ITGB1,0.570869822727939,0.18232396919432875,-0.3885458535336102,COL2A1 → ITGA11_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,ITGA1_ITGB1,0.1858734149885817,0.4119001963052831,0.22602678131670137,COL2A1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,ITGAV_ITGB8,0.0,0.16331218553715707,0.16331218553715707,COL2A1 → ITGAV_ITGB8,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL2A1,SDC1,0.0,0.18368234468683417,0.18368234468683417,COL2A1 → SDC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,COL3A1,DDR2,1.009608415328789,2.6441300720886804,1.6345216567598915,COL3A1 → DDR2,AF_fibroblast → AF_fibroblast
